Response ID,Time Taken to Complete (Seconds),1. Вика потеряла кошку. ОНА ИЩЕТ СВОЮ КОШКУ.,3. Обед на ест суп редко Петя.,4. Я ем свой завтрак.,7. Коля потерял телефон. ОН ИЩЕТ ЕГО ТЕЛЕФОН.,8. Я продаю свою машину.,10. Я читаю свой учебник.,12. Я  ищу мою сумку.            ,14. Вика потеряла книгу. ОНА ИЩЕТ СВОЮ КНИГУ.,16. Коля потерял ключ. ОН ИЩЕТ ЕГО КЛЮЧ.,17. Книги городам русских о. ,18. Анна купила квартиру. ОНА ЛЮБИТ ЕЁ КВАРТИРУ.,20. Я ищу свой паспорт.,21. Анна купила собаку. ОНА ЛЮБИТ СВОЮ СОБАКУ.,23. Я убираю мою комнату.,27. Дима купил велосипед. ОН ЛЮБИТ СВОЙ ВЕЛОСИПЕД.,28. Учителя русский были хорошими языка.,32. Петя ел рыба картошка c.,33. Я  убираю свой дом.,35. Столе лежат и книги журналы на.,37. Я читаю мою книгу.  ,39. Я  ищу  свою сумку. ,41. Библиотеке читают студенты книги  в.,45. Большом в живет городе много  людей.,47. Я убираю мой дом.,49. Дима купил дом. ОН ЛЮБИТ СВОЙ ДОМ.,51. Я читаю свою книгу.,52. Машину в Дима новый среду купить.,53. Коля потерял ключ. ОН ИЩЕТ СВОЙ КЛЮЧ.,55. Дима купил велосипед. ОН ЛЮБИТ ЕГО ВЕЛОСИПЕД.,56. Бассейне я в плавать люблю.,57. Я ищу мой паспорт.,59. Коля потерял телефон. ОН ИЩЕТ СВОЙ ТЕЛЕФОН.,60. Дерево белка на живет большом.,62. Я  продаю мою машину.,63. Часто я гуляю парк в.,64. Вика потеряла книгу. ОНА ИЩЕТ ЕЕ КНИГУ.,66. Мальчик в играет парке маленький.,68. День Лена читает каждый книгу.,70. Анна купила собаку. ОНА ЛЮБИТ ЕЕ СОБАКУ.,71. Вчера собака Петя терять своя.,72. Я читаю мой учебник.,73. Летела по самолет небу большая.       ,74. Дима купил дом. ОН ЛЮБИТ ЕГО ДОМ.,76. Я  убираю свою комнату.,77. Фильмы известных без aктер были cкучными.,78. Анна купила квартиру. ОНА ЛЮБИТ СВОЮ КВАРТИРУ.,79. Я ем мой завтрак.,80. Вика потеряла кошку. ОНА ПОТЕРЯЛА ЕЕ КОШКУ.,group
75408210,1392,5,1,5,2,4,4,4,4,2,1,2,4,4,4,5,1,1,4,1,4,4,1,1,4,4,4,1,2,4,1,4,4,1,4,1,2,1,1,3,2,4,1,2,4,1,4,4,3,L2
75453214,536,4,1,5,2,4,2,2,4,2,2,3,4,5,3,4,1,2,4,1,2,5,1,1,2,5,4,1,4,2,1,3,4,1,2,1,2,1,1,2,1,2,1,2,5,1,4,2,2,L2
75454192,1705,3,2,2,4,5,3,2,5,3,2,5,3,4,3,4,1,1,3,1,4,4,1,1,4,4,3,1,4,4,1,4,5,1,2,1,2,1,1,4,1,4,1,3,4,2,5,4,3,L2
75456215,1029,4,1,4,2,5,5,3,4,4,1,4,5,5,3,5,1,1,5,1,5,4,1,1,3,5,5,1,5,3,1,5,5,1,4,2,4,2,1,5,2,5,2,4,5,2,5,3,4,L2
75457009,1640,5,1,4,2,5,3,5,5,2,1,3,5,5,5,5,1,1,5,1,5,5,1,1,5,5,3,1,5,3,1,5,5,1,5,1,3,1,1,3,1,5,1,3,5,1,5,5,3,L2
75457071,574,5,1,5,5,5,5,5,5,5,1,4,5,4,5,4,1,1,5,2,5,5,1,1,5,5,5,1,5,5,1,5,5,1,5,2,4,1,1,5,1,5,1,5,5,2,5,5,5,L2
75555807,1658,2,2,5,5,5,5,4,5,5,2,5,4,5,4,5,2,2,5,3,5,5,3,2,4,5,5,2,5,5,4,5,5,3,5,2,5,2,1,5,2,5,3,5,5,3,5,4,5,L2
75571497,1870,2,2,4,4,4,5,4,4,5,2,4,2,5,4,4,1,1,3,3,5,5,1,2,4,4,4,1,5,5,1,5,5,3,5,1,5,1,1,5,1,5,3,5,4,5,5,5,5,L2
75575245,2266,5,1,1,3,5,5,1,5,3,1,3,5,5,1,5,1,1,5,1,3,5,1,1,2,5,5,1,5,3,1,2,5,1,2,1,3,1,1,3,1,2,1,3,5,1,5,2,2,L2
75575594,7543,4,1,3,3,4,3,4,5,4,1,5,5,5,5,5,1,1,5,1,5,5,1,1,5,5,5,1,5,5,1,5,5,1,5,1,5,1,1,5,1,5,1,5,5,1,5,5,5,L2
